,Degree,PageRank,LaplacianCentrality,BetweennessCentrality,EffectiveSize
0,6390022.0,4314111.0,4177966.0,4383912.0,6412821
1,6168715.0,4303085.0,4164981.0,4374961.0,6172038
2,6002887.0,4292221.0,4145464.0,4369375.0,5956881
3,5857077.0,4278740.0,4133007.0,4363948.0,5810340
4,5725811.0,4270166.0,4120782.0,4362733.0,5671680
5,5604282.0,4260940.0,4113994.0,4352447.0,5550876
6,5484384.0,4252073.0,4104281.0,4347010.0,5433390
7,5377509.0,4242365.0,4097831.0,4341498.0,5333825
8,5284512.0,4233985.0,4090301.0,4339071.0,5243578
9,5200430.0,4226766.0,4087130.0,4333248.0,5166258
10,5122361.0,4220901.0,4083831.0,4332813.0,5094137
11,5044011.0,4215070.0,4070621.0,4328745.0,5031176
12,4962532.0,4208147.0,4065922.0,4324396.0,4973545
13,4898205.0,4206313.0,4063038.0,4322354.0,4922240
14,4848048.0,4197340.0,,4320682.0,4867115
15,4799573.0,4193819.0,,4320024.0,4820390
16,4762902.0,4185023.0,,4318569.0,4774663
17,4722074.0,4178864.0,,4314236.0,4736041
18,4679563.0,4169251.0,,,4703948
19,4642303.0,4162339.0,,,4669271
20,4612879.0,4159220.0,,,4636127
21,4580619.0,4154098.0,,,4612429
22,4555743.0,4147793.0,,,4580399
23,4535247.0,4143106.0,,,4553639
24,4514002.0,4141462.0,,,4525688
25,4488815.0,4137678.0,,,4505748
26,4468041.0,4132346.0,,,4489398
27,4445382.0,4130203.0,,,4472002
28,4427365.0,4123452.0,,,4454660
29,4415209.0,4121878.0,,,4441946
30,4401073.0,4116913.0,,,4421952
31,4384388.0,4114049.0,,,4406263
32,4371786.0,4108146.0,,,4392202
33,4355975.0,4105019.0,,,4379137
34,4343380.0,4095781.0,,,4365107
35,4335050.0,4093511.0,,,4354475
36,4324749.0,4088586.0,,,4342874
37,4312602.0,4084516.0,,,4332593
38,4301860.0,4079257.0,,,4324121
39,4292767.0,4078684.0,,,4315052
40,4284721.0,4077053.0,,,4306543
41,4273239.0,4074965.0,,,4298297
42,4265488.0,4070116.0,,,4285704
43,4256826.0,4065280.0,,,4277903
44,4246751.0,4063880.0,,,4267744
45,4240968.0,4060106.0,,,4262346
46,4233978.0,4055523.0,,,4254493
47,4228169.0,4052873.0,,,4249952
48,4219639.0,4052639.0,,,4242863
49,4211927.0,4049932.0,,,4236521
50,4204805.0,4047788.0,,,4227816
51,4197025.0,4042738.0,,,4223538
52,4191955.0,4039872.0,,,4218533
53,4187340.0,4037727.0,,,4212389
54,4183406.0,4034714.0,,,4206717
55,4178387.0,4030674.0,,,4200513
56,4174266.0,4030222.0,,,4195683
57,4169134.0,4028587.0,,,4189561
58,4164884.0,4028162.0,,,4184283
59,4164236.0,,,,4181048
60,4160490.0,,,,4175198
61,4157470.0,,,,4170157
62,4152159.0,,,,4166562
63,4148212.0,,,,4161428
64,4145861.0,,,,4157946
65,4143387.0,,,,4153726
66,4141819.0,,,,4148092
67,4138434.0,,,,4144519
68,4136316.0,,,,4141351
69,4135041.0,,,,4136767
70,4131636.0,,,,4130666
71,4128829.0,,,,4128224
72,4127000.0,,,,4125222
73,4124215.0,,,,4121008
74,4121651.0,,,,4119293
75,,,,,4117878
76,,,,,4116081
77,,,,,4113946
78,,,,,4111328
79,,,,,4108992
80,,,,,4108281
81,,,,,4105346
82,,,,,4105061
83,,,,,4104171
84,,,,,4102814
85,,,,,4100125
86,,,,,4097639
87,,,,,4096771
88,,,,,4092680
89,,,,,4088520
90,,,,,4085889
91,,,,,4084568
92,,,,,4083968
93,,,,,4082452
94,,,,,4080892
95,,,,,4080350
96,,,,,4078022
97,,,,,4077823
98,,,,,4075382
99,,,,,4072657
100,,,,,4071865
101,,,,,4070260
102,,,,,4069985
103,,,,,4068386
104,,,,,4067524
105,,,,,4065095
106,,,,,4064393
107,,,,,4063167
108,,,,,4061104
