,timestamp,publish,media_size,location,user_id
0,0,0,75235,"(47.56, 15.47)",76
1,0,0,139688,"(77.02, 38.53)",58
2,0,0,36103,"(49.13, 123.06)",142
3,0,0,72314,"(51.3, 0.07)",65
4,0,1,20137,"(35.42, 139.0)",115
5,0,0,30055,"(48.08, 11.35)",70
6,0,0,63500,"(6.15, 75.36)",70
7,0,0,36254,"(35.42, 139.0)",141
8,0,0,107612,"(49.13, 123.06)",174
9,0,0,8316,"(6.12, 106.5)",138
10,0,0,63861,"(6.15, 75.36)",85
11,0,0,152794,"(37.35, 127.03)",59
12,0,0,168868,"(51.3, 0.07)",91
13,0,0,72276,"(51.3, 0.07)",107
14,0,0,16497,"(77.02, 38.53)",219
15,1,0,36993,"(35.42, 139.0)",203
16,1,0,52687,"(28.36, 77.12)",20
17,1,0,25141,"(77.02, 38.53)",71
18,1,0,83657,"(6.12, 106.5)",181
19,1,0,15537,"(48.51, 2.2)",72
20,1,0,39184,"(77.02, 38.53)",29
21,1,0,34204,"(77.02, 38.53)",181
22,2,0,149959,"(6.12, 106.5)",49
23,3,0,139095,"(35.42, 139.0)",80
24,3,0,129774,"(23.38, 102.33)",103
25,4,0,165911,"(77.02, 38.53)",189
26,4,0,60318,"(77.02, 38.53)",21
27,4,0,127856,"(14.37, 121.0)",123
28,4,0,85227,"(51.3, 0.07)",195
29,5,0,71744,"(35.42, 139.0)",152
30,5,0,55641,"(51.3, 0.07)",128
31,6,0,11299,"(23.38, 102.33)",21
32,6,0,44895,"(6.12, 106.5)",153
33,6,0,100771,"(77.02, 38.53)",16
34,6,0,179023,"(41.18, 2.06)",21
35,7,0,20562,"(40.02, 32.54)",117
36,7,0,59093,"(48.08, 11.35)",117
37,7,1,103545,"(21.3, 39.1)",6
38,7,0,32488,"(40.02, 32.54)",61
39,7,0,12447,"(77.02, 38.53)",172
40,7,0,80483,"(35.42, 139.0)",23
41,7,0,38428,"(40.02, 32.54)",67
42,7,0,42149,"(35.42, 139.0)",102
43,8,0,30463,"(51.3, 0.07)",105
44,8,0,45413,"(13.5, 100.29)",20
45,8,0,25997,"(77.02, 38.53)",43
46,8,0,148998,"(35.42, 139.0)",162
47,9,0,28213,"(30.0, 31.17)",138
48,9,0,150559,"(49.13, 123.06)",3
49,10,0,145164,"(28.36, 77.12)",164
50,10,0,140793,"(41.18, 2.06)",15
51,10,0,5281,"(35.42, 139.0)",110
52,10,0,40795,"(35.42, 139.0)",22
53,10,0,31081,"(77.02, 38.53)",126
54,10,0,179381,"(28.36, 77.12)",21
55,11,0,103669,"(40.02, 32.54)",20
56,11,0,178873,"(47.56, 15.47)",217
57,11,0,25761,"(14.37, 121.0)",94
58,12,0,186283,"(23.38, 102.33)",106
59,13,0,180509,"(21.3, 39.1)",77
60,13,0,153050,"(6.12, 106.5)",77
61,14,0,47199,"(14.37, 121.0)",66
62,14,0,102218,"(48.08, 11.35)",67
63,14,0,21642,"(23.38, 102.33)",114
64,15,0,175832,"(35.42, 139.0)",78
65,15,0,86248,"(28.36, 77.12)",107
66,15,0,16788,"(51.3, 0.07)",210
67,15,0,44756,"(35.42, 139.0)",43
68,15,0,49617,"(13.5, 100.29)",138
69,15,0,48192,"(77.02, 38.53)",62
70,15,0,125125,"(13.5, 100.29)",198
71,15,0,99935,"(21.3, 39.1)",6
72,16,0,95940,"(28.36, 77.12)",58
73,16,0,170423,"(28.36, 77.12)",19
74,16,0,20457,"(77.02, 38.53)",106
75,17,0,55435,"(35.42, 139.0)",207
76,17,0,127277,"(13.5, 100.29)",185
77,17,0,80717,"(41.18, 2.06)",72
78,18,0,102576,"(13.5, 100.29)",169
79,18,0,36318,"(35.42, 139.0)",222
80,19,0,132502,"(14.37, 121.0)",41
81,19,0,38559,"(51.3, 0.07)",184
82,19,0,32797,"(51.3, 0.07)",162
83,20,0,3677,"(77.02, 38.53)",22
84,20,0,85341,"(28.36, 77.12)",102
85,21,0,146108,"(47.56, 15.47)",160
86,21,0,75302,"(35.42, 139.0)",146
87,21,0,137033,"(48.51, 2.2)",35
88,22,0,53875,"(77.02, 38.53)",156
89,22,0,233519,"(77.02, 38.53)",118
90,22,0,229216,"(35.42, 139.0)",0
91,22,0,62185,"(51.3, 0.07)",166
92,23,0,30133,"(47.56, 15.47)",21
93,23,0,33169,"(47.56, 15.47)",15
94,23,0,81029,"(40.02, 32.54)",0
95,24,0,82958,"(47.56, 15.47)",59
96,24,0,450051,"(21.3, 39.1)",33
97,24,0,137564,"(35.42, 139.0)",160
98,25,0,30255,"(40.02, 32.54)",104
99,26,0,267357,"(28.36, 77.12)",139
100,28,0,127895,"(37.35, 127.03)",152
101,28,0,69845,"(41.18, 2.06)",160
102,28,0,26502,"(41.18, 2.06)",127
103,29,0,23722,"(35.42, 139.0)",198
104,29,0,47335,"(51.3, 0.07)",190
105,30,0,171808,"(35.42, 139.0)",143
106,30,0,235286,"(37.35, 127.03)",127
107,30,0,33541,"(23.38, 102.33)",157
108,30,0,16544,"(37.35, 127.03)",34
109,31,0,28112,"(14.37, 121.0)",113
110,32,0,58262,"(48.51, 2.2)",140
111,32,0,117595,"(47.56, 15.47)",43
112,32,0,103968,"(77.02, 38.53)",86
113,33,0,60981,"(35.42, 139.0)",143
114,33,0,56423,"(28.36, 77.12)",107
115,33,0,6646,"(77.02, 38.53)",137
116,34,0,34857,"(14.37, 121.0)",203
117,35,0,82924,"(49.13, 123.06)",70
118,38,0,31310,"(6.12, 106.5)",75
119,38,0,15365,"(6.12, 106.5)",109
120,39,0,15162,"(41.18, 2.06)",26
121,40,0,265165,"(77.02, 38.53)",26
122,40,0,189267,"(6.12, 106.5)",19
123,40,0,81316,"(77.02, 38.53)",212
124,40,0,143415,"(77.02, 38.53)",212
125,41,0,939477,"(77.02, 38.53)",160
126,41,0,48443,"(77.02, 38.53)",34
127,41,0,104980,"(6.12, 106.5)",34
128,42,0,42215,"(40.02, 32.54)",98
129,42,0,63415,"(35.42, 139.0)",98
130,42,0,12380,"(35.42, 139.0)",58
131,42,0,21683,"(35.42, 139.0)",155
132,43,0,96030,"(48.08, 11.35)",107
133,44,0,41083,"(48.08, 11.35)",41
134,44,0,130718,"(34.2, 58.3)",194
135,45,0,144860,"(40.02, 32.54)",98
