zone,latitude,longitude
asia-east1,24.0518,120.5161
asia-east2,22.3193,114.1694
asia-northeast1,35.6762,139.6503
asia-northeast2,34.6937,135.5023
asia-northeast3,37.5665,126.9780
asia-south1,19.0760,72.8777
asia-southeast1,1.3404,103.7090
australia-southeast1,-33.8688,151.2093
europe-north1,60.5693,27.1878
europe-west1,50.4491,3.8184
europe-west2,51.5074,-0.1278
europe-west3,50.1109,8.6821
europe-west4,53.4386,6.8355
europe-west6,47.3769,8.5417
northamerica-northeast1,45.5017,-73.5673
southamerica-east1,-23.5372,-46.7962
us-central1,41.2619,-95.8608
us-east1,33.1960,-80.0131
us-east4,39.0280,-77.5152
us-west1,45.5946,-121.1787
us-west2,34.0522,-118.2437
us-west3,40.7608,-111.8910
