,iter1,iter2,iter3,iter4,iter5
0,8632577.565429688,10019583.612304688,10863456.252929688,11109707.602539062,10764994.848632812
1,8630281.698242188,9935752.598632812,10859445.450195312,11109323.153320312,10760102.323242188
2,8627823.877929688,9871260.540039062,10858859.495117188,11107672.276367188,10748480.116210938
3,8623633.928710938,9808895.508789062,10857407.416992188,11106881.862304688,10737041.610351562
4,8623078.379882812,9738910.028320312,10857197.848632812,11106388.747070312,10735489.194335938
5,8622664.405273438,9685342.866210938,,11105189.922851562,10730281.952148438
6,8619318.694335938,9634300.963867188,,11104274.502929688,10727711.676757812
7,8617308.846679688,9601627.514648438,,11102574.616210938,10727631.348632812
8,8616919.932617188,9563789.750976562,,11101084.182617188,10727209.321289062
9,8615174.588867188,9523036.581054688,,,10721891.303710938
10,8614712.817382812,9497420.446289062,,,10718551.450195312
11,8614125.420898438,9466696.524414062,,,10713076.075195312
12,8609331.958007812,9438865.702148438,,,10712774.643554688
13,8607489.299804688,9409977.413085938,,,10702392.055664062
14,8605945.004882812,9385063.608398438,,,10700402.366210938
15,8604727.934570312,9352105.758789062,,,10699768.928710938
16,8593741.721679688,9324080.352539062,,,10695824.317382812
17,8593720.053710938,9309118.418945312,,,10695635.575195312
18,8593526.512695312,9290198.922851562,,,10680809.014648438
19,8592601.899414062,9265285.149414062,,,10679202.887695312
20,,9231827.540039062,,,10675330.881835938
21,,9212613.706054688,,,10675161.364257812
22,,9192013.555664062,,,10674638.809570312
23,,9174366.036132812,,,10672415.788085938
24,,9159243.055664062,,,
25,,9138705.870117188,,,
26,,9127661.686523438,,,
27,,9104828.698242188,,,
28,,9088887.524414062,,,
29,,9080043.438476562,,,
30,,9076024.649414062,,,
31,,9072823.241210938,,,
32,,9046472.811523438,,,
33,,9037144.112304688,,,
34,,9024311.030273438,,,
35,,9015999.764648438,,,
36,,9008431.149414062,,,
37,,8998129.110351562,,,
38,,8990364.719726562,,,
39,,8984377.028320312,,,
40,,8973749.813476562,,,
41,,8967485.788085938,,,
42,,8956667.727539062,,,
43,,8953809.038085938,,,
44,,8943726.696289062,,,
45,,8933737.875976562,,,
46,,8925151.547851562,,,
47,,8917799.721679688,,,
48,,8915933.688476562,,,
49,,8910209.030273438,,,
50,,8905230.790039062,,,
51,,8903767.194335938,,,
52,,8902471.129882812,,,
53,,8898370.791992188,,,
54,,8894397.415039062,,,
55,,8886956.969726562,,,
56,,8877584.096679688,,,
57,,8873516.354492188,,,
58,,8866654.858398438,,,
59,,8865319.280273438,,,
60,,8860149.254882812,,,
61,,8849931.590820312,,,
62,,8849223.211914062,,,
63,,8843842.442382812,,,
64,,8838646.616210938,,,
65,,8834997.633789062,,,
66,,8816691.297851562,,,
67,,8811602.627929688,,,
68,,8805845.581054688,,,
69,,8804453.602539062,,,
70,,8800000.479492188,,,
71,,8792502.541992188,,,
72,,8785515.534179688,,,
73,,8784815.833007812,,,
74,,8784629.567382812,,,
75,,8782281.793945312,,,
76,,8778982.711914062,,,
77,,8774397.811523438,,,
78,,8770505.061523438,,,
79,,8768624.098632812,,,
80,,8766818.602539062,,,
81,,8760419.813476562,,,
82,,8756899.487304688,,,
83,,8756694.790039062,,,
84,,8750134.372070312,,,
85,,8747587.127929688,,,
86,,8745976.897460938,,,
87,,8740047.213867188,,,
88,,8737133.713867188,,,
89,,8733612.415039062,,,
90,,8730806.838867188,,,
91,,8729925.086914062,,,
92,,8728902.633789062,,,
93,,8727687.213867188,,,
94,,8726463.403320312,,,
